participant_id,domain,word_order,word,IRT,devnagri_word
10147,body-parts,1,आँख,12294.5,आँख
10147,body-parts,2,कान,8276.5,कान
10147,body-parts,3,हाथ,7595.4,हाथ
10147,body-parts,4,पैर,10199.0,पैर
10147,body-parts,5,नाक,8616.7,नाक
10147,body-parts,6,जीभ,7501.4,जीभ
10147,foods,1,रोटी,9826.3,रोटी
10147,foods,2,चावल,7055.2,चावल
10147,foods,3,दाल,7786.9,दाल
10147,foods,4,खिचड़ी,6668.3,खिचड़ी
10147,foods,5,पराठा,7066.3,पराठा
10147,foods,6,फल,6736.5,फल
10147,foods,7,आलू,7296.7,आलू
10147,animals,1,शेर,42634.4,शेर
10147,animals,2,तेंदुआ,4899.5,तेंदुआ
10147,animals,3,हाथी,4557.4,हाथी
10147,animals,4,कुत्ता,5538.9,कुत्ता
13498,body-parts,1,हाथ,15018.2,हाथ
13498,body-parts,2,होंठ,1012.8,होंठ
13498,body-parts,3,आँखें,8587.1,आँखें
13498,body-parts,4,कान,10503.6,कान
13498,body-parts,5,गरदन,11878.4,गरदन
13498,body-parts,6,पेट,10767.5,पेट
13498,animals,1,शेर,7784.5,शेर
13498,animals,2,हाथी,8278.8,हाथी
13498,animals,3,बंदर,9522.1,बंदर
13498,animals,4,गधा,6659.4,गधा
13498,animals,5,ऊंट,8045.6,ऊंट
13498,animals,6,कुत्ता,7688.9,कुत्ता
13498,animals,7,घोड़ा,9204.4,घोड़ा
13498,foods,1,दूध,9307.7,दूध
13498,foods,2,दही,7845.2,दही
13498,foods,3,मक्खन,9362.5,मक्खन
13498,foods,4,अनाज,7141.8,अनाज
13498,foods,5,गेहूँ,7225.3,गेहूँ
13498,foods,6,चावल,6539.6,चावल
13498,foods,7,सेब,8463.9,सेब
13549,animals,1,शेर,15696.0,शेर
13549,animals,2,बाघ,5684.0,बाघ
13549,animals,3,हाथी,5532.0,हाथी
13549,animals,4,घोड़ा,4451.0,घोड़ा
13549,animals,5,बकरी,4527.0,बकरी
13549,animals,6,भेड़,4050.0,भेड़
13549,animals,7,ऊँट,4066.0,ऊँट
13549,animals,8,कुत्ता,4036.0,कुत्ता
13549,animals,9,बिल्ली,3907.0,बिल्ली
13549,animals,10,खरगोश,3984.0,खरगोश
13549,foods,1,चावल,14209.0,चावल
13549,foods,2,गेहूँ,5212.0,गेहूँ
13549,foods,3,आलू,4675.0,आलू
13549,foods,4,टमाटर,4139.0,टमाटर
13549,foods,5,सेब,5544.0,सेब
13549,foods,6,केला,5679.0,केला
13549,foods,7,जलेबी,6958.0,जलेबी
13549,foods,8,रसगुल्ला,5353.0,रसगुल्ला
13549,body-parts,1,सिर,15730.0,सिर
13549,body-parts,2,माथा,4453.0,माथा
13549,body-parts,3,आँख,6417.0,आँख
13549,body-parts,4,हाथ,8157.0,हाथ
13549,body-parts,5,पैर,5103.0,पैर
13549,body-parts,6,दिल,5723.0,दिल
13549,body-parts,7,फेफड़ा,4370.0,फेफड़ा
13549,body-parts,8,छाती,5403.0,छाती
20970,animals,1,kutta,8425.1,कुत्ता
20970,animals,2,billi,2369.5,बिल्ली
20970,animals,3,chuha,2911.0,चूहा
20970,animals,4,sher,1936.2,शेर
20970,animals,5,ghoda,12715.4,घोड़ा
20970,animals,6,gadha,6017.1,गधा
20970,animals,7,murga,5934.0,मुर्गा
20970,animals,8,bakra,3099.8,बकरा
20970,animals,9,bhalu,10949.9,भालू
20970,animals,10,hathi,5389.9,हाथी
20970,foods,1,roti,11590.3,रोटी
20970,foods,2,aalu,4350.3,आलू
20970,foods,3,baigan,2502.0,बैंगन
20970,foods,4,chawal,4638.5,चावल
20970,foods,5,chicken,5461.0,चिकन
20970,foods,6,machli,2848.7,मछली
20970,foods,7,mutton,2584.2,मटन
20970,foods,8,bhindi,4720.4,भिंडी
20970,foods,9,dawaaiya,16196.3,दवाइयां
20970,body-parts,1,hath,3488.7,हाथ
20970,body-parts,2,pair,1452.2,पैर
20970,body-parts,3,khopdi,7682.5,खोपड़ी
20970,body-parts,4,pait,7170.3,पेट
20970,body-parts,5,fefde,3804.1,फेफड़े
20970,body-parts,6,gurde,2675.7,गुर्दे
20970,body-parts,7,dimag,5287.5,दिमाग
20970,body-parts,8,hridai,4949.2,हृदय
20970,body-parts,9,baal,2780.4,बाल
20970,body-parts,10,maanspeshiya,7053.3,मांसपेशियां
20970,body-parts,11,khoon,4329.9,खून
20970,body-parts,12,hadiyan,5914.9,हड्डियां
23853,animals,1,शेर,24407.0,शेर
23853,animals,2,बाघ,4748.0,बाघ
23853,animals,3,चीता,4622.0,चीता
23853,animals,4,तेंदुआ,5972.0,तेंदुआ
23853,animals,5,हाथी,5308.0,हाथी
23853,animals,6,घोड़ा,4216.0,घोड़ा
23853,animals,7,गधा,4834.0,गधा
23853,body-parts,1,सिर,23931.0,सिर
23853,body-parts,2,आँख,5171.0,आँख
23853,body-parts,3,कान,4640.0,कान
23853,body-parts,4,हाथ,6441.0,हाथ
23853,body-parts,5,पैर,4116.0,पैर
23853,body-parts,6,घुटना,6130.0,घुटना
23853,body-parts,7,उँगली,5994.0,उँगली
23853,foods,1,चावल,16139.0,चावल
23853,foods,2,रोटी,5909.0,रोटी
23853,foods,3,दाल,4915.0,दाल
23853,foods,4,सब्ज़ी,5247.0,सब्ज़ी
23853,foods,5,फल,3714.0,फल
23853,foods,6,दूध,4459.0,दूध
23853,foods,7,अंडा,5198.0,अंडा
23853,foods,8,पनीर,3992.0,पनीर
23853,foods,9,दही,4296.0,दही
23853,foods,10,मिठाई,4360.0,मिठाई
31417,foods,1,चावल,26846.2,चावल
31417,foods,2,दाल,4764.1,दाल
31417,foods,3,आम,3165.1,आम
31417,foods,4,प्याज,4238.5,प्याज
31417,foods,5,पानी,4969.5,पानी
31417,foods,6,दही,5126.8,दही
31417,foods,7,केला,8155.1,केला
31417,animals,1,गाय,13393.6,गाय
31417,animals,2,बकरी,10948.3,बकरी
31417,animals,3,शेर,4401.4,शेर
31417,animals,4,हाथी,3931.4,हाथी
31417,animals,5,कुत्ता,4207.6,कुत्ता
31417,animals,6,बिल्ली,3598.5,बिल्ली
31417,animals,7,भैंस,9948.5,भैंस
31417,animals,8,खरगोश,8897.4,खरगोश
31417,body-parts,1,आँख,9700.0,आँख
31417,body-parts,2,नाक,4431.4,नाक
31417,body-parts,3,कान,2228.8,कान
31417,body-parts,4,मुंह,4502.7,मुंह
31417,body-parts,5,हाथ,3217.6,हाथ
31417,body-parts,6,पैर,2093.1,पैर
31417,body-parts,7,घुटना,10508.5,घुटना
31417,body-parts,8,पेट,4724.7,पेट
31417,body-parts,9,दिमाग,16376.8,दिमाग
3342,animals,1,कुत्ता,8739.3,कुत्ता
3342,animals,2,मछली,8200.9,मछली
3342,animals,3,कछुआ,8485.6,कछुआ
3342,animals,4,शेर,7849.3,शेर
3342,animals,5,साँप,7855.8,साँप
3342,animals,6,डायनासोर,10374.9,डायनासोर
3342,animals,7,बंदर,8158.9,बंदर
3342,body-parts,1,उंगली,7831.3,उंगली
3342,body-parts,2,आंख,6840.0,आंख
3342,body-parts,3,नाक,7607.3,नाक
3342,body-parts,4,कान,6866.6,कान
3342,body-parts,5,पाँव,6797.3,पाँव
3342,body-parts,6,जांघ,8339.3,जांघ
3342,body-parts,7,बाल,6893.4,बाल
3342,foods,1,चाय,7671.7,चाय
3342,foods,2,कॉफ़ी,8041.7,कॉफ़ी
3342,foods,3,नींबू,7854.4,नींबू
3342,foods,4,दूध,8296.0,दूध
3342,foods,5,चुकंदर,8281.8,चुकंदर
3342,foods,6,दाल,9282.9,दाल
3342,foods,7,चावल,6436.7,चावल
35389,animals,1,saap,13608.8,सांप
35389,animals,2,sher,2768.4,शेर
35389,animals,3,bhalu,7567.4,भालू
35389,animals,4,hathi,4066.8,हाथी
35389,animals,5,ghoda,7064.3,घोड़ा
35389,animals,6,bakri,9255.3,बकरी
35389,animals,7,gaay,2701.3,गाय
35389,animals,8,kutta,3269.2,कुत्ता
35389,animals,9,suar,2731.2,सुअर
35389,animals,10,bagh,5893.9,बाघ
35389,foods,1,roti,30978.1,रोटी
35389,foods,2,chawal,1402.5,चावल
35389,foods,3,dal,1425.6,दाल
35389,foods,4,sabzi,1486.8,सब्ज़ी
35389,foods,5,paratha,2743.1,पराठा
35389,foods,6,samaso,1934.9,समोसा
35389,foods,7,kachori,3158.8,कचौड़ी
35389,foods,8,idli,4814.9,इडली
35389,foods,9,rasam,7267.8,रसम
35389,foods,10,halwa,3015.3,हलवा
35389,body-parts,1,aankh,10272.7,आंख
35389,body-parts,2,naak,2504.7,नाक
35389,body-parts,3,muh,2880.2,मुंह
35389,body-parts,4,daat,3504.1,दांत
35389,body-parts,5,jeeb,2039.6,जीभ
35389,body-parts,6,gala,3277.8,गला
35389,body-parts,7,sar,6173.9,सर
35389,body-parts,8,pair,3531.8,पैर
35389,body-parts,9,dil,4520.6,दिल
35389,body-parts,10,kohni,13666.4,कोहनी
35389,body-parts,11,dimag,1777.1,दिमाग
35389,body-parts,12,pet,2618.9,पेट
42616,body-parts,1,आंख,26780.1,आंख
42616,body-parts,2,कान,8616.1,कान
42616,body-parts,3,नाक,8559.1,नाक
42616,body-parts,4,मुंह,8587.6,मुंह
42616,foods,1,दाल,22294.4,दाल
42616,foods,2,चावल,7447.7,चावल
42616,foods,3,रोटी,6943.6,रोटी
42616,foods,4,दूध,7280.1,दूध
42616,foods,5,दही,8087.7,दही
42616,foods,6,मक्खन,7872.6,मक्खन
42616,animals,1,गाय,19461.0,गाय
42616,animals,2,भैंस,7745.2,भैंस
42616,animals,3,बैल,7655.9,बैल
42616,animals,4,बकरी,7831.5,बकरी
42616,animals,5,घोड़ा,8554.0,घोड़ा
42616,animals,6,गधा,7678.8,गधा
43909,foods,1,fal,8979.0,फल
43909,foods,2,roti,8709.3,रोटी
43909,foods,3,chaval,1748.2,चावल
43909,foods,4,dhudh,5800.4,दूध
43909,foods,5,swadisht,5789.2,स्वादिष्ट
43909,foods,6,meetha,6689.4,मीठा
43909,foods,7,teekha,1812.0,तीखा
43909,foods,8,chatpata,3799.5,चटपटा
43909,foods,9,bhukh,2536.3,भूख
43909,body-parts,1,hath,4059.5,हाथ
43909,body-parts,2,pair,1133.3,पैर
43909,body-parts,3,chamdi,9670.9,चमड़ी
43909,body-parts,4,aakhn,4938.5,आंख
43909,body-parts,5,nakh,1102.0,नख
43909,body-parts,6,kaan,1124.2,कान
43909,body-parts,7,mu,3930.3,मुंह
43909,body-parts,8,baal,2137.5,बाल
43909,animals,1,kutta,5951.3,कुत्ता
43909,animals,2,billi,1458.5,बिल्ली
43909,animals,3,haathi,1837.6,हाथी
